dissect,详细研究
invent,发明
institute,研究所
expertise,专门知识
threshold,阈值
threshold,门槛
doctrine,学说
precision,精确度
precision,精确
symbolic,符号的
symbolic,象征的
symbol,符号
specimen,样本
specimen,标本
trial,实验性的
precise,周密的
precise,精确的
theoretical,理论的
exact,精确的
mechanical,机械的
tentative,试探性的
twinkle,闪耀
twinkle,闪烁
twinkle,眨眼
ablaze,闪耀的
extinguish,熄灭
gleam,闪烁
gleam,使闪光
brighten,使发光
flicker,闪烁
burnish,使光滑
burnish,磨光
flare,耀斑
flare,闪耀
glaze,使光滑
luster,光彩
luster,光泽
glossy,有光泽的
dismal,阴暗的
glaring,耀眼的
extinct,熄灭的
dusky,肤色黑的
dusky,微暗的
vague,含糊的
vague,模糊的
obscure,模糊的
dim,朦胧的
dim,昏暗的
dingy,昏暗的
illuminate,照明
illuminate,照亮
luminous,光亮的
luminous,发光的
gloomy,暗的
gloom,黑暗
faint,模糊的
access,入门
access,通路
direct,直接的
via,经过
via,经由
means,方法
means,手段
tip,窍门
shortcut,捷径
forthright,直接的
forthright,坦率地
forthright,豪爽的
preclude,阻止
preclude,排除
accommodate,容纳
embody,包含
embody,体现
deflect,使偏离
bias,使偏离
comprise,包括
cover,包括
embrace,包含
embrace,拥抱
digress,离题
deviate,出轨
deviate,偏离
save,除了
content,内容
span,跨越
span,跨度
scope,余地
scope,范围
besides,除了
impertinent,无关的
impertinent,不恰当的
impertinent,无礼的
external,外部的
unconventional,破例的
exclusion,排除
exclusive,独占的
exclusive,排外的
exclude,排除在外
irrelevant,无关紧要的
irrelevant,不着边际的
extraneous,无关的
extra,额外的
relieved,免除的
exceptional,例外的
exception,例外
affinity,类似处
resemble,类似
resemble,像
imitate,模仿
copy,模仿
copy,复制
compare,比较
contrast,对比
midst,之中
midst,中间
counterpart,极相似之物
counterpart,相对物
counterpart,副本
medium,中等的
medium,中间
medium,媒介
sample,范例
sample,样品
inferior,劣等的
inferior,自卑的
inferior,次品
reproduction,复制品
shade,差别
relatively,相对的
relatively,相关的
backward,相反的
backward,退步的
neutral,中立的
neutral,中性的
intermediate,中级的
equivalent,等价物
equivalent,相等的
equivalent,相当的
equate,视为等同
equate,使相等
equal,相等的
peerless,无与伦比的
identical,相同的
homogeneous,相似的
homogeneous,同等的
coordinate,并列的
coordinate,同等的
approximate,近似的
preferable,更好的
inverse,反的
invert,倒转
typical,代表性的
typical,典型的
monotonous,单调的
subordinate,次要的
subordinate,附属的
dissimilar,不相似的
similar,相似的
comparable,类似的
comparable,可比的
comparative,比较的
abstruse,深奥的
attribute,性质
interior,内部
spontaneous,本能的
spontaneous,自发的
crude,生的
crude,未提炼的
crude,原油
instinctive,天生的
instinctive,本能的
inborn,天生的
innate,天生的
substantive,实质性的
incisive,深刻的
internal,内在的
objective,客观的
inherently,天生的
inherently,固有的
inherent,固有的
rudimentary,低级的
rudimentary,根本的
radically,根本上
radical,根本的
radical,激进
intrinsic,本身的
intrinsic,固有的
indigenous,固有的
broccoli,花椰菜
broccoli,西兰花
beet,甜菜
barley,大麦
scoop,勺子
scoop,舀
imbibe,饮
imbibe,喝酒
nibble,轻咬
nibble,蚕食
nutriment,营养品
diet,节食
diet,饮食
beverage,饮料
dessert,甜点
cuisine,烹调
chop,排骨
butter,黄油
seasoning,调味品
condiment,调味品
bland,无刺激性的
bland,平淡
edible,可食用的
wheat,小麦
tomato,西红柿
spinach,菠菜
soybean,黄豆
sesame,芝麻
rye,黑麦
rice,稻
rice,米
radish,萝卜
pumpkin,南瓜
potato,马铃薯
pepper,胡椒粉
pepper,胡椒
peanut,花生
pea,豌豆
onion,洋葱
oats,燕麦
mustard,芥末
millet,粟
lettuce,莴苣
lettuce,生菜
leek,韭
grain,谷类
grain,颗粒
grain,粮食
cucumber,黄瓜
corn,谷类
corn,玉米
cereal,谷类
celery,芹菜
carrot,胡萝卜
cabbage,卷心菜
