advocate,拥护
admire,赞美
admire,钦佩
adore,敬爱
respect,尊重
respect,尊敬
classic,第一流的
disreputable,声名狼藉的
admirable,极好的
admirable,令人钦佩的
revere,尊敬
baud,赞美
extol,称颂
tarnish,败坏（名誉）
tarnish,玷污
embalm,使不朽
venerate,崇拜
venerate,敬拜
exalted,崇高的
exalt,称赞
commend,称赞
esteem,尊敬
awe,敬畏
reverence,尊敬
grandeur,伟大
grandeur,庄严
prestige,声望
prestige,威望
virtue,美德
deference,敬意
homage,敬意
homage,尊敬
feat,壮举
feat,功绩
credit,信誉
odor,名声
lofty,高尚的
dignity,尊严
dignified,高贵的
dignified,尊严的
dignify,使显贵
dignify,使尊容
prominent,突出的
prominent,卓越的
preeminent,卓越的
exceptional,卓越的
noted,知名的
noted,著名的
notable,显着的
notable,著名的
celebrated,著名的
celebrate,表扬
celebrate,赞扬
supreme,至高无上的
laudable,值得称道的
renowned,知名的
complimentary,赞美的
compliment,祝贺
compliment,赞美
excellent,杰出的
excellent,优秀的
excel,优秀
matchless,无与伦比的
exemplary,典范的
exemplary,模范的
deferential,毕恭毕敬
deferential,充满敌意的
eminent,杰出的
illustrious,显赫的
illustrious,著名的
illustrious,辉煌的
glorious,光荣的
legendary,传奇的
legendary,传说中的
infamous,臭名昭著的
notorious,臭名昭著的
immortal,不朽的
obscure,无名气的
outstanding,杰出的
gorgeous,华丽的
novelty,新颖
novelty,新奇
vogue,流行
tide,潮流
prevalent,流行的
prevalent,普遍的
prevail,盛行
prevail,流行
fashionable,时髦的
fashionable,流行的
embarrass,使困窘
flounder,挣扎
flounder,比目鱼
dilemma,困境
dilemma,进退两难
painstaking,劳苦
painstaking,辛苦
strait,困难
plight,处境
plight,困境
strenuous,辛苦的
arduous,困难的
arduous,险峻的
devious,曲折的
precipitous,急躁的
precipitous,险峻的
laborious,艰难的
laborious,费力的
canopy,华盖
canopy,天篷
forge,铁匠铺
dwelling,住宅
tower,屹立
tower,塔
dormitory,宿舍
stall,摊子
block,街区
vault,地窖
vault,拱顶
auditorium,大礼堂
depot,存放在仓库
depot,仓库
refuge,避难所
haven,港口
haven,避难所
unionization,联合
unionization,工会组织
patronage,保护人的身份
patronage,光顾
patronage,惠顾
derivative,衍生物
affect,感动
affect,影响
sway,影响
fitting,适合的
affinity,密切关系
subsidiary,附属的
subsidiary,辅助的
pension,抚恤金
pension,退休金
pension,养老金
grant,授予
correlate,相关联
supersede,替代
displace,取代
implicate,牵涉
supplant,排挤
supplant,取代
replenish,补充
hinge,取决于
collaborate,合作
band,结合
band,联合
proximity,接近
proximity,邻近
link,链接
impact,冲击
impact,作用
impact,影响
concurrence,一致
consensus,一致意见
consensus,达成共识
substitute,替代品
substitute,替代
intimacy,亲近
intimacy,熟悉
intimate,暗示
intimate,亲密的
fusion,联合
cooperation,合作
associate,伙伴
associate,联合
association,关联
discord,不和谐
complementary,互补的
complement,相辅相成
complement,补充
bond,联系
bond,联结
relevant,贴切的
relevant,相关的
congenial,意气相投的
dependent,依赖性
dependent,依赖的
fraternal,兄弟般的
fraternal,兄弟的
concerted,协调一致的
mutual,共同的
mutual,相互的
close,紧密地
close,亲密的
respective,分别的
respective,各自的
incongruity,不协调的
incongruous,不协调的
incongruous,牛头不对马嘴
congruity,一致性
incompatible,不兼容的
render,给予
furnish,供给
accommodate,供给住宿
accommodate,容纳
provision,供应
provide,提供
