purring,打呼噜
voyage,航程
appreciate,欣赏
oath,誓言
recite,背诵
rechristen,重新命名
homicidal,杀人
serum,血清
synthesize,合成
melodramatic,滥情
coma,昏迷
induced,诱导
compartment,隔室
decontamination,去污
thruster,推进器
incinerated,焚烧
irradiated,辐照
misaligned,错位
divert,转移
evacuation,疏散
auxiliary,辅
popsicles,冰棍
detonation,引爆
phasers,移相器
apt,易于
terms,条款
fulfilled,应验
corpses,尸体
suffocate,窒息
aft,船尾
resolve,意志
demonstrate,演示
guarantee,保证
sensor,传感器
incursion,侵入
inadvertently,不经意间
staff,员工
senior,年长的
assemble,聚集
flown,飞行
fate,命运
tempt,引诱
ruthless,无情
adversary,对手
vow,宣誓
encounter,遭遇
destabilizing,破坏稳定的
destabilizing,不稳定
hangar,机库
south,南
stun,眩晕
evasive,回避
imminent,即将来临
maintenance,保养
collision,碰撞
debris,废墟
shot glass,防弹玻璃
wee,细小
exhaust,排气
whereupon,于是
cargo,货物
maneuvering,机动
necrotic,坏死的
tissue,组织
deceased,死者
platelet,血小板
dreadnought class,无畏级
gut,胆量
incapable,无能
wisest,最明智的
resistance,抵抗
optimal,最佳
innate,固有
flee,逃跑
treason,叛国罪
snuck,悄悄
consolation,安慰
territory,领土
rogue,流氓
hail,招呼
maneuver,调动
evasive,逃避的
hull,船壳
breach,裂口
bulkhead,舱壁
pursued,追赶
condemned,判处
burden,累赘
tactical,战术
spare,备用
assist,协助
improvise,凑合
violation,违反
custody,拘留
hailing,招呼
proximity,接近
responded,回应
concealing,隐藏
smuggle,偷渡
outcome,结果
inevitable,必然
crippled,残废
purposely,故意
planet,行星
unsuspecting,信任的
militarized,军事化
savagery,野蛮
intellect,智力
exploit,利用
uphold,坚持
vowed,发誓
violated,违反
warrior,战士
threat,威胁
uncivilized,不文明的
conceal,隐瞒
smokescreen,烟幕
fiction,小说
adrift,漂浮
quadrant,象限
aggressive,侵略性
destruction,毁坏
exile,流亡
criminal,罪犯
condemned,谴责
remnant,残余
proper,正确
revive,复活
cryo,冷冻
retrofitted,改装
nacelle,机舱
welding,焊工
vengeance,复仇
deliver,交付
differentiate,区分
cables,电缆
bundle,束
bastard,混帐
octuplets,八胞胎
warhead,弹头
legendary,传说中的
flirt,调情
gorgeous,华丽
stuck,卡住
steadiest,稳定
substantial,大幅
planetoid,小行星
reputation,名誉
confront,对抗
confront,面对
prototype,原型
oversaw,监督
forged,伪造的
bay,机架
relevant,相关的
concealed,隐瞒
dynamite,炸药
qualified,胜任
blow up,炸
maniac,疯子
dictate,主宰
nerve,神经
oyster,牡蛎
enhancement,增强
modification,修改
all along,一直
coordinate,协调
convince,说服
conscience,良心
