decomposition,腐败
oxygen,氧
nitrogen,氮
iodine,碘
sulfur,硫
ammonia,氨
silicon,硅
helium,氦
calcium,钙
zinc,锌
tin,锡
sodium,钠
silver,银
platinum,铂
nickel,镍
Mercury,水星
lead,铅
copper,铜
carbon,碳
synthetic,综合的
synthetic,合成的
functional,起作用的
polymerization,聚合
neutralize,中和
combination,组合
combination,化和
action,作用
ignite,点燃
sear,烧灼
kindle,点燃
burning,燃烧
explode,爆炸
blast,爆破
explosive,爆炸的
particle,微粒
substance,物质
compound,化合物
compound,混合物
blend,混合
impurity,杂质
element,元素
dissolve,溶解
solvent,有偿付能力的
solvent,溶解的
solution,解决方案
solubility,可解决性
solubility,可溶性
molecule,些微
molecule,分子
ion,离子
artificial,人造的
alchemy,魔力
alchemy,炼金术
hydronic,循环加热
biochemistry,生物化学
chemistry,化学
dye,染料
dye,染色
tint,着色
bleach,漂白
scorch,使褪色
adhesive,粘合剂
catalyst,催化剂
catalysis,催化作用
intermediary,中间人
intermediary,媒介
plastic,塑料制品
plastic,可塑体
plastic,塑胶
petroleum,石油
hydrocarbon,碳氢化合物
methane,沼气
methane,甲烷
gasoline,汽油
crystal,晶体
crystal,水晶
limestone,石灰石
silica,二氧化硅
rust,锈
corrode,腐蚀
decay,腐败
rotten,腐烂的
rot,腐烂
stale,陈腐的
erode,腐蚀
erosion,腐蚀
caustic,腐蚀性的
hackneyed,陈腐的
decomposition,分解
