officeholding,任职
promote,升职
promote,促进
inaugurate,使就职
inaugurate,开幕
register,注册
solicit,拉客
solicit,征求
resign,辞职
major,专业
charge,职业
vocation,行业
vocation,职业
audition,试听
audition,面试
career,职业
career,生涯
task,作业
task,任务
undertaking,工程
undertaking,任务
chore,家务活
chore,苦差事
drudgery,苦差事
assumption,就职
sketch,勾画
sketch,草图
draft,草拟
draft,草案
log,日志
role,任务
role,角色
entry,登记
entry,入口
officially,职务上
officially,正式地
hectic,忙碌的
bore,钻孔
spade,铁锹
spade,铲
sickle,镰刀
shovel,铲子
shovel,铲
pick,掘
pick,摘
pick,选
pick,挑
harrow,耙地
harrow,耕犁
harrow,耙
chop,砍
incise,切开
incise,切割
tow,牵引
forge,锻造
forge,伪造
remove,解除
remove,消除
efface,涂抹
efface,抹除
efface,抹去
smear,涂抹
cram,填塞
cram,填满
rend,撕开
rend,裂开
cleanse,使洁净
rap,敲击
hew,削
hew,伐
hew,砍
clamp,夹住
clamp,钳
clip,钳子
clip,夹子
clip,夹
clip,修剪
scratch,划痕
scratch,刮擦
gild,镀金
clinch,揪住
clinch,钉牢
flush,冲洗
flay,去皮
extract,拔出
extract,提取
maintain,维持
fix,修理
tug,牵引
tug,拖船
glaze,上釉
glaze,釉
prune,修剪
squeeze,挤
snap,使猛然断裂
snap,抢购
pump,水泵
pump,吸
pump,抽
shaft,柄
shaft,轴
tool,工具
implement,工具
instrument,工具
furrow,弄绉
furrow,耕
furrow,犁
thrive,旺盛
thrive,繁荣
blessing,祝福
bonanza,幸运
boon,恩惠
readily,容易的
fortunate,幸运的
cozy,舒适的
auspicious,幸运的
auspicious,吉祥的
gratitude,感激
gratitude,感谢
grateful,感谢的
convenient,便利
convenient,方便
abduct,诱拐
abduct,绑架
accomplice,从犯
accomplice,帮凶
trap,诱捕
trap,陷阱
belie,掩盖
purge,洗涤（罪等）
purge,清洗
fabricate,伪造
defraud,欺诈
delude,欺骗
extort,敲诈
extort,勒索
embezzle,盗用（公款；公物）
kidnap,绑架
assassinate,行刺
assassinate,暗杀
despoil,抢劫
beguile,欺骗
brew,图谋
brew,酿造
sin,过失
sin,罪过
conspiracy,阴谋
conspire,密谋
conspire,阴谋
counterfeit,假冒的
counterfeit,伪造的
counterfeit,赝品
pilferage,偷窃
theft,盗窃
homicide,杀人
fraudulent,欺诈的
fraud,欺骗
gangster,暴徒
gangster,强盗
deceptive,虚伪的
deceptive,骗人的
deceive,行骗
deceive,欺骗
deceitful,欺骗的
deceit,欺诈
deceit,欺骗
