enact,制定（法律）
standard,标准
credential,凭据
set,规定
prescribe,指定
prescribe,规定
legalize,使合法化
legalize,合法化
legislation,立法
legislate,立法
decree,颁布
decree,法令
constitution,宪法
bill,法案
clause,条款
term,术语
term,条款
abolish,取消
abolish,废除
acquit,无罪释放
absolve,豁免
absolve,免除
release,释放
remit,赦免
liberate,释放
condone,宽恕
condone,纵容
exempt,豁免
impunity,有罪不罚
impunity,免罚
interrogate,审问
query,质问
query,询问
lawsuit,诉讼
denounce,告发
prosecute,起诉
incriminate,归罪于
indictment,起诉
indictment,起诉书
impeach,检举
impeach,弹劾
complaint,控告
complaint,原告
accusation,指控
accuse,控告
accuse,指控
abide,遵守
observance,遵守
observe,遵守
follow,跟随
follow,遵循
evidence,证人
evidence,证据
assure,使确信
assure,保证
affirm,证实
confirm,证实
confirm,确认
substantiate,证实
justify,合法化
justify,辩解
testimony,证词
testify,作证
testify,证实
testify,证明
stipulate,约定
stipulate,规定
deserve,应得
verify,确认
revise,修订
veto,否决
ban,禁令
ban,禁止
abstain,戒除
abstinence,禁欲
abstinence,节制
forbid,禁止
proscribe,禁止
defend,辩护
flee,逃跑
plead,辩护
plead,求情
plaintiff,原告
pledge,誓言
oath,发誓
oath,誓言
plea,恳求
empower,使能够
empower,授权
authorize,授权
bar,法院
court,法庭
saddle,使负担
extenuate,减轻（罪行）
detain,拘留
trial,审判
trial,审讯
captivity,拘留
captivity,囚禁
imprisonment,有期徒刑
invalidate,废止
imprisonment,监禁
indemnity,赔款
judgment,判决
verdict,判决
convict,判罪
confiscate,充公
confiscate,没收
fine,罚金
arbitration,调停
arbitration,仲裁
jurisdiction,司法权
heirship,继承权
licensed,许可的
mandatory,命令性
mandatory,强制性
domineering,专权的
domineering,盛气凌人
responsible,有责任的
obligatory,必须的
obligatory,义务的
oblige,强迫
compulsory,义务的
bound,有义务的
infringe,违犯
violation,违犯
violate,侵犯
violate,违背
violate,违犯
default,缺乏
default,拖欠
default,不履行
default,不履行责任
illegitimate,私生的
illegitimate,非法的
unruly,不守法的
illicit,违法的
penal,受刑罚的
penal,刑事的
discipline,纪律
discipline,学科
curriculum,课程
conduct,引导
direct,引导
lead,引导
edify,教化
edify,陶冶
enlighten,启蒙
enlighten,启发
enlighten,开导
instruct,教
instill,灌输
initiate,启蒙
sermon,说教
leading,指导的
didactic,说教式
didactic,教导的
